"Sp","X","LimbWidth","LimbLength","Observer"
"H. amphibius",1,12.9579476686195,34.1917177729774,"Mia"
"F. catus",2,9.69908309262246,21.0388333385345,"Mia"
"H. amphibius",3,6.62143792398274,1.00556419487111,"Mia"
"F. catus",4,17.8916170019656,9.78279081336223,"Mia"
"V. vulpes",5,15.2490254850127,34.2714823486749,"Olivia"
"H. hybrids",6,1.67050752323121,1.4059584394563,"Brooke"
"C. septempunctata",7,2.60871866648085,15.6589311980642,"Olivia"
"C. septempunctata",8,17.6450503992382,33.9958964125253,"Mia"
"V. vulpes",9,13.619667812949,44.4685219079256,"Mia"
"H. hybrids",10,14.4539707128424,10.1481915470213,"Olivia"
"C. septempunctata",11,5.90337475505657,17.5837938822806,"Brooke"
"H. amphibius",12,11.1205985448323,36.4057421549223,"Brooke"
"H. hybrids",13,13.4947809856385,45.6941579498816,"Olivia"
"H. amphibius",14,10.9784134461079,11.9515005857684,"Olivia"
"H. amphibius",15,5.13697123224847,9.56004998274148,"Brooke"
"H. amphibius",16,3.10713488096371,9.61447957437485,"Olivia"
"F. catus",17,7.74218039144762,8.21421666443348,"Olivia"
"H. hybrids",18,7.11881531937979,33.0693537308834,"Mia"
"H. hybrids",19,13.9079847629182,23.605467816582,"Olivia"
"H. amphibius",20,13.1771712582558,6.96156320860609,"Brooke"
"H. amphibius",21,18.9689909247681,47.1068807020783,"Brooke"
"F. catus",22,2.97797819250263,16.966298105428,"Mia"
"C. septempunctata",23,14.5848182814661,35.7985626964364,"Mia"
"F. catus",24,18.8012966653332,39.4707309175283,"Brooke"
"C. septempunctata",25,17.7014847660903,7.85539581952617,"Mia"
"H. amphibius",26,12.7770480166655,14.4201154361945,"Olivia"
"F. catus",27,16.9790070827585,37.5688943928108,"Olivia"
"C. septempunctata",28,11.2320173396729,28.1620126604103,"Brooke"
"V. vulpes",29,3.74838518956676,25.5099668242037,"Mia"
"C. septempunctata",30,1.79102326440625,48.3402202872094,"Brooke"
"C. septempunctata",31,1.95733648538589,49.7914145044051,"Brooke"
"F. catus",32,6.20861090254039,10.9358793557622,"Brooke"
"V. vulpes",33,12.0786932045594,15.3775239149109,"Brooke"
"F. catus",34,8.99111346411519,17.1558499964885,"Olivia"
"C. septempunctata",35,14.1147494732868,48.2534529364202,"Brooke"
"V. vulpes",36,6.27830341109075,45.2744242106564,"Olivia"
"H. hybrids",37,5.47206578194164,15.9245302877389,"Mia"
"H. amphibius",38,10.6098192702048,19.1703819830436,"Mia"
"C. septempunctata",39,15.3822426570114,8.58060746802948,"Brooke"
"C. septempunctata",40,4.87314851675183,45.3545460612513,"Olivia"
"C. septempunctata",41,17.8352903807536,12.681656982284,"Brooke"
"F. catus",42,11.1769095810596,17.5209793513641,"Olivia"
"F. catus",43,11.2666427653749,21.8513521975838,"Brooke"
"H. amphibius",44,15.5449653239921,1.16021530493163,"Brooke"
"C. septempunctata",45,13.9718890709337,15.7256611040793,"Brooke"
"H. amphibius",46,14.5659841923043,4.2297514390666,"Mia"
"H. amphibius",47,5.63393453950994,25.4763108009938,"Mia"
"H. amphibius",48,15.7885297534522,7.79608187754638,"Olivia"
"V. vulpes",49,16.1704968416598,17.0829950666521,"Brooke"
"C. septempunctata",50,9.63715586578473,11.7129226634279,"Olivia"
"C. septempunctata",51,10.5383784519508,27.5297583020292,"Mia"
"H. amphibius",52,18.9365798851941,12.2124417307787,"Olivia"
"H. amphibius",53,15.5066771570127,1.45165397413075,"Mia"
"V. vulpes",54,10.0130744404159,27.5041453563608,"Brooke"
"F. catus",55,6.76498941401951,31.5350872017443,"Brooke"
"F. catus",56,4.06405630055815,17.1165719591081,"Olivia"
"H. hybrids",57,7.17554553993978,48.321654062951,"Mia"
"H. hybrids",58,9.97525650821626,45.8112688872498,"Mia"
"H. amphibius",59,12.3884636668954,24.6423819048796,"Olivia"
"V. vulpes",60,2.44208144769073,8.63749164179899,"Olivia"
"H. hybrids",61,7.69642581790686,25.9193729276303,"Brooke"
"H. amphibius",62,10.3014768711291,34.4573761308566,"Mia"
"H. hybrids",63,14.2237734890077,43.114988777088,"Mia"
"F. catus",64,15.1561436471529,21.4906552715693,"Brooke"
"F. catus",65,15.2930125982966,45.1551381587051,"Brooke"
"H. hybrids",66,8.83816091925837,10.1373319919221,"Mia"
"V. vulpes",67,4.29946945561096,2.94330834131688,"Brooke"
"H. amphibius",68,2.37800955353305,36.5688480369281,"Mia"
"F. catus",69,7.43278970196843,22.921548822429,"Brooke"
"F. catus",70,16.9375710231252,9.54141761083156,"Mia"
"F. catus",71,5.53859869251028,41.2423315809574,"Brooke"
"C. septempunctata",72,10.6452797777019,31.5225245899055,"Brooke"
"H. amphibius",73,17.1852796340827,38.7127713556401,"Mia"
"C. septempunctata",74,19.6798302696552,47.8826243076473,"Brooke"
"C. septempunctata",75,4.04477246757597,20.3946370244958,"Mia"
"H. hybrids",76,6.6794858078938,30.7836157341953,"Olivia"
"H. hybrids",77,10.7479986872058,23.3861084110104,"Brooke"
"F. catus",78,1.14767809584737,1.35847278824076,"Brooke"
"H. hybrids",79,13.1514745512977,48.6348252703901,"Brooke"
"C. septempunctata",80,7.78426259756088,13.5189120739233,"Mia"
"V. vulpes",81,19.0808538231067,39.2850044097286,"Brooke"
"F. catus",82,19.7351873482112,19.946913165506,"Brooke"
"H. hybrids",83,2.04066957603209,36.3787368913181,"Olivia"
"C. septempunctata",84,13.5617503288668,47.8500322827604,"Olivia"
"F. catus",85,2.8521263259463,14.7325064367615,"Olivia"
"H. amphibius",86,19.0951768311206,32.8277733121067,"Olivia"
"H. hybrids",87,9.22705034632236,39.2461826975923,"Brooke"
"V. vulpes",88,2.48673599469475,23.0228646863252,"Mia"
"C. septempunctata",89,3.42873802734539,26.8377550677396,"Mia"
"V. vulpes",90,18.8629329444375,47.2436019424349,"Mia"
"F. catus",91,6.95035240566358,20.5298790126108,"Mia"
"H. hybrids",92,5.65833482611924,39.3859589144122,"Olivia"
"V. vulpes",93,5.76516660558991,14.7885543412995,"Brooke"
"H. hybrids",94,13.385976575315,30.0225174331572,"Olivia"
"C. septempunctata",95,15.8929922126699,5.09249712945893,"Olivia"
"V. vulpes",96,12.9928105541039,22.546468535671,"Olivia"
"F. catus",97,11.5413040791173,25.6046966158319,"Brooke"
"H. hybrids",98,17.7612911167089,28.4949412974529,"Brooke"
"F. catus",99,9.4865338623058,15.7367086403538,"Mia"
"H. hybrids",100,6.02967857290059,42.2562305305619,"Olivia"
